Day,data,smoothed
2022-02-15,0.0029042803093230767,0.0028099793546048266
2022-02-16,0.00284983466462613,0.002735558196867
2022-02-17,0.002781154200584718,0.002661129622029929
2022-02-18,0.0027026868595650356,0.0025869964318872814
2022-02-19,0.0026164681119006227,0.0025134506089801584
2022-02-20,0.0025209207302818995,0.002440771774612354
2022-02-21,0.0024173068192628847,0.002369223711144126
2022-02-22,0.0023106833487780594,0.0022990501398537384
2022-02-23,0.0022106835069041733,0.002230470872294632
2022-02-24,0.0021220789104813864,0.0021636791402607214
2022-02-25,0.0020498573896076417,0.002098841150246156
2022-02-26,0.0019969854224503713,0.0020360989078855364
2022-02-27,0.0019565627403758962,0.0019755757667418205
2022-02-28,0.0019228977714028214,0.001917383597529355
2022-03-01,0.0018913716194734439,0.0018616307559429666
2022-03-02,0.0018538475665552813,0.0018084288240766376
2022-03-03,0.0018075182287138694,0.0017578967449169724
2022-03-04,0.0017528566127889044,0.0017101617207001246
2022-03-05,0.0016875845732679609,0.0016653555100288936
2022-03-06,0.0016104063634595205,0.00162360643426912
2022-03-07,0.001530017790155933,0.001585028398486518
2022-03-08,0.0014614008992664368,0.0015497077792392937
2022-03-09,0.0014069679207939195,0.0015176901979929787
2022-03-10,0.0013646138411853598,0.0014889695152191715
2022-03-11,0.00133817338005605,0.0014634801862758136
2022-03-12,0.001328064764841943,0.001441093671256684
2022-03-13,0.0013336929250246,0.0014216197170783854
2022-03-14,0.001348050130754161,0.0014048123766668675
2022-03-15,0.001358975354399346,0.0013903795983101234
2022-03-16,0.0013659548474431525,0.001377995289817444
2022-03-17,0.0013689488363273384,0.0013673124130010469
2022-03-18,0.0013644268328526943,0.0013579756125127545
2022-03-19,0.0013563643372818393,0.0013496324890868315
2022-03-20,0.0013487239416231948,0.0013419429366855547
2022-03-21,0.0013425708995542908,0.0013345863817694793
2022-03-22,0.001336984691197771,0.001327267012232276
2022-03-23,0.0013308022021739823,0.0013197176370563007
2022-03-24,0.0013266146838361939,0.0013117027322715516
2022-03-25,0.0013238485256385681,0.0013030209815122272
2022-03-26,0.0013209818444113908,0.00129350819501942
2022-03-27,0.0013206519578400928,0.0012830403842046764
2022-03-28,0.0013219367325155438,0.0012715363744209031
2022-03-29,0.0013223712566224185,0.0012589600307300012
2022-03-30,0.0013209204495273706,0.001245321257352618
2022-03-31,0.0013130514164162788,0.0012306750183550181
2022-04-01,0.0012957758964427563,0.0012151183298610673
2022-04-02,0.00127010549335283,0.0011987849183566432
2022-04-03,0.0012369003809354895,0.0011818378182979234
2022-04-04,0.001199575195808535,0.0011644605301459755
2022-04-05,0.0011616668802982735,0.0011468476377116607
2022-04-06,0.0011234398115859583,0.0011291962351637254
2022-04-07,0.0010880230311653015,0.0011116987246482723
2022-04-08,0.0010607494229042255,0.0010945377053605044
2022-04-09,0.001044377077341483,0.0010778835886026768
2022-04-10,0.001038505677243819,0.0010618944437753722
2022-04-11,0.0010384986583806002,0.0010467175790785886
2022-04-12,0.0010399104986832935,0.001032491772408622
2022-04-13,0.001039188927273734,0.0010193486501339707
2022-04-14,0.0010293695376302073,0.0010074124808727187
2022-04-15,0.0010117483184739966,0.0009967973545599714
2022-04-16,0.000993960502162068,0.0009876010348314848
2022-04-17,0.0009717174825909602,0.0009798961053250573
2022-04-18,0.0009400365929644077,0.0009737192291620131
2022-04-19,0.0009045881873209706,0.000969059645225154
2022-04-20,0.0008730481590183324,0.000965848737260648
2022-04-21,0.0008564896118888119,0.0009639525447980348
